model_size,seq_len,pack_or_pad,gbs,mbs,dp,tp,pp,mean_except_first,stddev_except_first,exit_reason,mean,stddev,values
7,16,pack,512,2,4,4,1,9527.000,0.000,oom,10694.350,1167.350,"[11861.7,9527.0]"
7,16,pack,512,2,4,1,4,12253.967,1643.324,success,12347.060,1583.812,"[13184.9,10659.6,11927.2,10932.7,16682.0,11957.2,12021.2,12115.7,12055.0,11935.1]"
7,16,pack,512,2,4,2,2,9429.700,0.000,oom,10324.200,894.500,"[11218.7,9429.7]"
7,16,pack,512,4,2,8,1,9332.600,0.000,oom,10301.800,969.200,"[11271.0,9332.6]"
7,16,pack,512,2,2,8,1,14815.833,861.877,success,14925.650,881.524,"[15914.0,13878.1,16443.7,14087.9,14851.6,16002.0,14252.9,15312.9,14376.7,14136.7]"
7,16,pack,512,4,2,1,8,16221.844,1477.782,success,16188.850,1405.438,"[15891.9,14573.0,15073.0,14651.3,16143.6,18606.6,14652.3,17490.6,17947.3,16858.9]"
7,16,pack,512,2,2,1,8,17207.844,1567.630,success,17215.780,1487.375,"[17287.2,15331.1,17110.9,16771.8,19293.0,16756.2,20239.7,17856.3,15839.8,15671.8]"
7,16,pack,512,4,2,4,2,9671.067,1683.168,success,9678.750,1596.960,"[9747.9,8182.6,11962.7,7509.8,11867.7,8527.2,10400.9,9637.9,7656.7,11294.1]"
7,16,pack,512,2,2,4,2,12733.089,769.895,success,12712.720,732.938,"[12529.4,11659.7,12451.9,13983.4,12799.8,12085.5,13151.7,12306.7,12208.0,13951.1]"
7,16,pack,512,4,2,2,4,10470.900,1100.921,success,10543.350,1066.801,"[11195.4,9367.3,10034.1,10434.7,11183.0,12818.6,11576.3,9660.3,9681.4,9482.4]"
7,16,pack,512,2,2,2,4,11565.244,1279.986,success,11675.500,1258.545,"[12667.8,10349.6,13185.9,13591.8,13302.8,10742.1,10754.9,10823.9,10771.5,10564.7]"
7,16,pack,512,4,1,16,1,14288.667,615.869,success,14395.150,665.893,"[15353.5,13395.4,15307.1,13685.7,14695.5,14721.8,13877.4,14132.4,14960.2,13822.5]"
7,16,pack,512,2,1,16,1,22606.911,453.601,success,22781.530,677.941,"[24353.1,21635.1,23288.9,22615.6,22530.5,22768.5,22845.1,22128.4,22946.2,22703.9]"
7,16,pack,512,4,1,1,16,27637.033,1827.936,success,27577.470,1743.314,"[27041.4,25961.9,26970.5,28770.4,28653.4,31917.1,27838.8,26273.0,26216.9,26131.3]"
7,16,pack,512,2,1,1,16,28270.244,2460.599,success,28207.800,2341.834,"[27645.8,26351.5,27869.9,33419.6,28615.0,31828.6,26475.1,26652.5,26608.6,26611.4]"
7,16,pack,512,8,1,8,2,8894.889,765.590,success,9009.550,803.642,"[10041.5,8432.2,10152.5,7666.1,9463.8,8862.9,8762.3,9041.8,7942.1,9730.3]"
7,16,pack,512,4,1,8,2,11277.500,620.700,success,11411.730,713.373,"[12619.8,10721.5,12320.5,10876.5,11603.0,10976.3,11876.6,10256.0,11071.7,11795.4]"
7,16,pack,512,2,1,8,2,16210.067,677.879,success,16318.860,721.174,"[17298.0,16490.0,16360.6,15767.5,17430.0,15911.8,15916.2,16113.6,16958.2,14942.7]"
7,16,pack,512,8,1,2,8,15603.622,947.542,success,15632.720,903.146,"[15894.6,14566.9,14970.1,14667.7,15897.3,16644.6,15651.7,17553.8,15734.7,14745.8]"
7,16,pack,512,4,1,2,8,15925.911,1439.886,success,15950.680,1368.015,"[16173.6,14784.2,16353.0,17757.9,15321.3,19095.5,14928.1,15088.8,15038.5,14965.9]"
7,16,pack,512,2,1,2,8,16837.556,1691.864,success,16888.570,1612.323,"[17347.7,15604.4,20950.9,15753.8,17162.9,18439.1,15873.9,15959.5,15952.4,15841.1]"
7,16,pack,512,8,1,4,4,9949.222,586.137,success,10071.600,666.324,"[11173.0,9227.8,10622.7,9368.2,10916.3,10377.3,10370.8,9627.5,9569.4,9463.0]"
7,16,pack,512,4,1,4,4,10546.033,999.087,success,10674.550,1023.233,"[11831.2,9806.6,13229.2,10910.2,10570.4,10073.4,10057.2,10160.5,10116.1,9990.7]"
7,16,pack,512,2,1,4,4,12458.600,988.792,success,12588.630,1015.927,"[13758.9,14789.8,13610.7,11780.2,12408.5,11848.2,11897.8,12051.4,11992.8,11748.0]"
7,16,pad,512,1,4,4,1,91954.700,772.300,timeout:timeout,91721.333,711.724,"[91254.6,91182.4,92727.0]"
7,16,pad,512,1,4,2,2,80568.767,1525.486,timeout,80207.650,1461.693,"[79124.3,78674.1,82409.6,80622.6]"
7,16,pad,512,1,2,8,1,121291.400,0.000,timeout,121009.900,281.500,"[120728.4,121291.4]"
7,16,pad,512,1,2,4,2,95224.800,1825.600,timeout,95456.467,1526.177,"[95919.8,97050.4,93399.2]"
